incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
9002082,01/17/2009 10:51:00 AM,XX,TUFTS ST,,S,16,23F,THEFT FROM MOTOR VEHICLE,-71.08939,42.38304,25,017,351404,1400000US25017351404,25017351404,3514.04,CT,418512,0
6012191,04/13/2006 05:00:00 PM,XX,TUFTS ST,,,NA,220,BURGLARY/BREAKING AND ENTERING,-71.08939,42.38304,25,017,351404,1400000US25017351404,25017351404,3514.04,CT,418512,0
8042008,11/19/2008 02:34:00 PM,XX,TUFTS ST,,S,16,240,MOTOR VEHICLE THEFT,-71.08939,42.38304,25,017,351404,1400000US25017351404,25017351404,3514.04,CT,418512,0
13005312,02/07/2013 12:15:13 AM,XX,UNION SQ,,S,24,220,BURGLARY/BREAKING AND ENTERING,-71.09589,42.37972,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
15015888,04/11/2015 02:35:58 AM,XX,UNION SQ,,S,24,120,ROBBERY,-71.09589,42.37972,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
11004502,02/01/2011 10:40:00 PM,XX,WEBSTER AVE,,S,29,220,BURGLARY/BREAKING AND ENTERING,-71.09546,42.37640,25,017,351500,1400000US25017351500,25017351500,3515,CT,1388605,0
14004856,02/12/2014 05:56:01 PM,XX,WEBSTER AVE,,S,29,220,BURGLARY/BREAKING AND ENTERING,-71.09546,42.37640,25,017,351500,1400000US25017351500,25017351500,3515,CT,1388605,0
14004857,02/12/2014 05:56:52 PM,XX,WEBSTER AVE,,S,29,220,BURGLARY/BREAKING AND ENTERING,-71.09546,42.37640,25,017,351500,1400000US25017351500,25017351500,3515,CT,1388605,0
13010315,03/14/2013 09:57:24 PM,XX,WEBSTER AVE,,S,29,220,BURGLARY/BREAKING AND ENTERING,-71.09546,42.37640,25,017,351500,1400000US25017351500,25017351500,3515,CT,1388605,0
6007100,03/04/2006 10:56:00 AM,XX,WOODS AVE,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.12880,42.41193,25,017,350700,1400000US25017350700,25017350700,3507,CT,783926,29493
12040105,10/04/2012 04:06:00 PM,6XX,BROADWAY,,S,85,23F,THEFT FROM MOTOR VEHICLE,-71.10911,42.39880,25,017,350300,1400000US25017350300,25017350300,3503,CT,398110,0
7036509,10/02/2007 04:18:00 PM,6XX,BROADWAY,,S,85,240,MOTOR VEHICLE THEFT,-71.10911,42.39880,25,017,350300,1400000US25017350300,25017350300,3503,CT,398110,0
14032578,09/24/2014 06:04:53 AM,6XX,ASSEMBLY ROW,,S,1,220,BURGLARY/BREAKING AND ENTERING,-71.07940,42.39512,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
14024299,07/24/2014 06:51:22 AM,6XX,ASSEMBLY ROW,,S,1,23F,THEFT FROM MOTOR VEHICLE,-71.07940,42.39512,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
16001745,01/11/2016 12:14:14 AM,6XX,ASSEMBLY ROW,,B,1,120,ROBBERY,-71.07940,42.39512,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
5039153,11/28/2005 08:39:00 AM,6XX,BROADWAY,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.10919,42.39883,25,017,350300,1400000US25017350300,25017350300,3503,CT,398110,0
17017316,03/22/2017 02:21:48 PM,6XX,ASSEMBLY ROW,,B,1,23F,THEFT FROM MOTOR VEHICLE,-71.07935,42.39515,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
10004540,02/12/2010 12:57:00 PM,6XX,BROADWAY,,S,85,240,MOTOR VEHICLE THEFT,-71.10943,42.39903,25,017,350300,1400000US25017350300,25017350300,3503,CT,398110,0
16003794,01/21/2016 01:49:06 PM,XX,BRADLEY ST,,S,42,240,MOTOR VEHICLE THEFT,-71.09386,42.38935,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
11018003,06/03/2011 11:49:00 AM,XX,BRADLEY ST,,S,42,220,BURGLARY/BREAKING AND ENTERING,-71.09386,42.38935,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
6025047,07/22/2006 08:19:00 AM,XX,CENTRAL ST,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.10438,42.38720,25,017,351100,1400000US25017351100,25017351100,3511,CT,682663,0
10008889,03/20/2010 09:55:00 PM,XX,CHANDLER ST,,S,113,220,BURGLARY/BREAKING AND ENTERING,-71.12106,42.39978,25,017,350500,1400000US25017350500,25017350500,3505,CT,225395,0
10008907,03/21/2010 12:57:00 AM,XX,CHANDLER ST,,S,113,240,MOTOR VEHICLE THEFT,-71.12106,42.39978,25,017,350500,1400000US25017350500,25017350500,3505,CT,225395,0
6016833,05/21/2006 04:40:00 PM,XX,CLARENDON AVE,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.12952,42.40182,25,017,350800,1400000US25017350800,25017350800,3508,CT,211545,0
12003567,01/29/2012 10:13:00 PM,XX,CRAIGIE ST,,S,77,23F,THEFT FROM MOTOR VEHICLE,-71.11139,42.38747,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
14043495,12/09/2014 09:30:27 PM,XX,CRAIGIE ST,,S,77,23F,THEFT FROM MOTOR VEHICLE,-71.11139,42.38747,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
11001922,01/17/2011 03:41:00 PM,XX,DARTMOUTH ST,,S,39,220,BURGLARY/BREAKING AND ENTERING,-71.09606,42.39252,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
12037251,09/15/2012 12:00:00 PM,XX,DARTMOUTH ST,,S,39,240,MOTOR VEHICLE THEFT,-71.09606,42.39252,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
5016859,05/31/2005 08:51:00 PM,XX,DARTMOUTH ST,,,NA,120,ROBBERY,-71.09606,42.39252,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
