Week Number,Tract Number,Abandoned property,ISD-Buildings,Illegal parking,Power outage,Street light issue,TV/monitor pick up
14,354700,0.0,0.0,1.0,0.0,0.0,0.0
15,350104,0.0,1.0,1.0,0.0,0.0,5.0
15,350200,1.0,1.0,2.0,0.0,0.0,3.0
15,350300,0.0,0.0,2.0,0.0,0.0,3.0
15,350400,0.0,0.0,0.0,0.0,0.0,3.0
15,350500,0.0,0.0,2.0,0.0,0.0,1.0
15,350600,1.0,0.0,0.0,0.0,0.0,1.0
15,350700,0.0,0.0,2.0,0.0,1.0,2.0
15,350800,0.0,0.0,1.0,0.0,0.0,0.0
15,350900,0.0,2.0,4.0,1.0,0.0,1.0
15,351000,2.0,1.0,4.0,1.0,0.0,2.0
15,351100,2.0,1.0,3.0,0.0,0.0,3.0
15,351203,0.0,3.0,4.0,0.0,1.0,3.0
15,351204,1.0,0.0,0.0,0.0,0.0,0.0
15,351300,0.0,0.0,1.0,0.0,0.0,5.0
15,351403,0.0,0.0,3.0,0.0,0.0,2.0
15,351404,0.0,2.0,0.0,0.0,1.0,6.0
15,351500,0.0,0.0,0.0,0.0,2.0,1.0
16,350104,0.0,1.0,3.0,0.0,0.0,2.0
16,350200,0.0,1.0,0.0,0.0,1.0,3.0
16,350300,0.0,1.0,0.0,0.0,2.0,1.0
16,350400,0.0,0.0,2.0,0.0,1.0,3.0
16,350500,0.0,0.0,2.0,0.0,1.0,0.0
16,350700,0.0,0.0,1.0,0.0,0.0,1.0
16,350800,0.0,0.0,1.0,0.0,0.0,1.0
16,350900,2.0,0.0,1.0,0.0,0.0,2.0
16,351000,0.0,0.0,3.0,0.0,0.0,1.0
16,351100,0.0,1.0,2.0,0.0,0.0,3.0
16,351203,1.0,1.0,5.0,0.0,0.0,5.0
16,351204,0.0,1.0,2.0,0.0,0.0,1.0
16,351300,0.0,3.0,1.0,0.0,0.0,0.0
16,351403,0.0,3.0,2.0,0.0,0.0,3.0
16,351404,0.0,0.0,0.0,0.0,0.0,1.0
16,351500,0.0,2.0,3.0,0.0,1.0,0.0
17,350103,0.0,0.0,1.0,0.0,0.0,1.0
17,350104,0.0,2.0,3.0,0.0,0.0,11.0
17,350200,0.0,0.0,1.0,0.0,0.0,6.0
17,350300,0.0,2.0,0.0,0.0,0.0,2.0
17,350400,0.0,1.0,3.0,0.0,0.0,5.0
17,350500,0.0,0.0,4.0,0.0,1.0,0.0
17,350600,0.0,0.0,0.0,0.0,1.0,2.0
17,350700,0.0,1.0,3.0,0.0,0.0,8.0
17,350800,0.0,1.0,1.0,0.0,0.0,1.0
17,350900,0.0,2.0,1.0,0.0,1.0,4.0
17,351000,0.0,2.0,0.0,0.0,0.0,8.0
17,351100,0.0,0.0,3.0,0.0,0.0,3.0
17,351203,0.0,2.0,4.0,0.0,1.0,2.0
17,351204,0.0,1.0,4.0,0.0,1.0,5.0
17,351300,0.0,0.0,3.0,0.0,0.0,5.0
17,351403,0.0,0.0,4.0,0.0,1.0,5.0
17,351404,0.0,3.0,0.0,0.0,0.0,3.0
17,351500,1.0,0.0,1.0,0.0,0.0,3.0
18,350103,0.0,0.0,0.0,0.0,0.0,1.0
18,350104,0.0,2.0,0.0,0.0,0.0,3.0
18,350200,0.0,3.0,1.0,0.0,1.0,6.0
18,350300,0.0,0.0,0.0,0.0,1.0,0.0
18,350400,1.0,0.0,5.0,0.0,1.0,3.0
18,350600,0.0,1.0,0.0,0.0,0.0,1.0
18,350700,0.0,0.0,3.0,0.0,0.0,2.0
18,350800,0.0,0.0,1.0,0.0,1.0,0.0
18,350900,0.0,1.0,0.0,0.0,1.0,3.0
18,351000,0.0,1.0,5.0,2.0,0.0,2.0
18,351100,1.0,1.0,8.0,1.0,0.0,3.0
18,351203,1.0,0.0,3.0,0.0,0.0,3.0
18,351204,0.0,0.0,1.0,0.0,0.0,0.0
18,351300,0.0,0.0,3.0,0.0,1.0,0.0
18,351403,0.0,0.0,1.0,0.0,1.0,0.0
18,351404,0.0,0.0,2.0,0.0,0.0,0.0
18,351500,0.0,0.0,3.0,0.0,1.0,0.0
19,350103,0.0,0.0,3.0,0.0,0.0,2.0
19,350104,0.0,1.0,5.0,0.0,0.0,5.0
19,350200,1.0,3.0,2.0,0.0,0.0,5.0
19,350300,0.0,0.0,2.0,0.0,1.0,3.0
19,350400,0.0,1.0,3.0,0.0,0.0,2.0
19,350500,0.0,0.0,2.0,0.0,0.0,3.0
19,350600,0.0,0.0,0.0,0.0,0.0,2.0
19,350700,0.0,0.0,2.0,0.0,0.0,1.0
19,350800,0.0,1.0,1.0,0.0,0.0,3.0
19,350900,0.0,2.0,1.0,0.0,1.0,2.0
19,351000,0.0,0.0,2.0,0.0,0.0,7.0
19,351100,0.0,1.0,5.0,0.0,0.0,6.0
19,351203,0.0,0.0,5.0,0.0,0.0,3.0
19,351204,0.0,0.0,1.0,0.0,0.0,2.0
19,351300,1.0,0.0,0.0,0.0,0.0,1.0
19,351403,0.0,0.0,1.0,0.0,0.0,4.0
19,351404,0.0,1.0,1.0,0.0,0.0,5.0
19,351500,1.0,0.0,2.0,0.0,0.0,2.0
20,350103,0.0,0.0,4.0,0.0,0.0,2.0
20,350104,0.0,2.0,3.0,0.0,0.0,4.0
20,350200,2.0,9.0,2.0,0.0,1.0,10.0
20,350300,0.0,0.0,5.0,0.0,0.0,3.0
20,350400,0.0,2.0,0.0,0.0,0.0,7.0
20,350500,0.0,1.0,1.0,0.0,0.0,1.0
20,350600,0.0,1.0,3.0,0.0,0.0,1.0
20,350700,0.0,0.0,0.0,0.0,0.0,3.0
20,350800,0.0,1.0,0.0,0.0,0.0,1.0
20,350900,0.0,0.0,5.0,0.0,0.0,2.0
20,351000,0.0,0.0,5.0,0.0,1.0,3.0
20,351100,1.0,1.0,2.0,0.0,0.0,4.0
20,351203,0.0,1.0,5.0,0.0,0.0,2.0
20,351204,0.0,0.0,6.0,0.0,1.0,4.0
20,351300,0.0,0.0,5.0,0.0,0.0,3.0
20,351403,0.0,0.0,1.0,0.0,0.0,9.0
20,351404,0.0,2.0,1.0,0.0,0.0,8.0
20,351500,0.0,1.0,5.0,0.0,0.0,2.0
21,350103,0.0,0.0,2.0,0.0,1.0,1.0
21,350104,1.0,0.0,4.0,0.0,0.0,4.0
21,350200,1.0,1.0,3.0,0.0,0.0,7.0
21,350300,0.0,2.0,1.0,0.0,0.0,3.0
21,350400,0.0,1.0,0.0,22.0,0.0,6.0
21,350500,0.0,1.0,2.0,0.0,0.0,1.0
21,350600,1.0,0.0,0.0,0.0,0.0,1.0
21,350700,0.0,0.0,1.0,0.0,0.0,4.0
21,350800,0.0,0.0,0.0,0.0,0.0,1.0
21,350900,0.0,1.0,0.0,1.0,2.0,4.0
21,351000,0.0,1.0,4.0,0.0,0.0,8.0
21,351100,1.0,2.0,3.0,0.0,0.0,6.0
21,351203,0.0,0.0,2.0,0.0,0.0,2.0
21,351204,0.0,0.0,5.0,0.0,0.0,3.0
21,351300,1.0,0.0,3.0,0.0,0.0,1.0
21,351403,0.0,1.0,1.0,0.0,0.0,2.0
21,351404,0.0,1.0,1.0,0.0,1.0,5.0
21,351500,1.0,0.0,2.0,0.0,0.0,0.0
22,350104,0.0,5.0,5.0,0.0,0.0,0.0
22,350200,1.0,0.0,5.0,1.0,0.0,5.0
22,350300,1.0,0.0,4.0,0.0,0.0,0.0
22,350400,0.0,0.0,1.0,0.0,0.0,6.0
22,350500,0.0,0.0,0.0,0.0,0.0,3.0
22,350600,0.0,0.0,0.0,0.0,0.0,3.0
22,350700,0.0,1.0,1.0,0.0,0.0,5.0
22,350900,1.0,1.0,5.0,0.0,0.0,1.0
22,351000,1.0,0.0,4.0,1.0,0.0,5.0
22,351100,0.0,0.0,3.0,1.0,0.0,4.0
22,351203,2.0,0.0,3.0,0.0,0.0,4.0
22,351204,1.0,3.0,3.0,0.0,0.0,0.0
22,351300,0.0,1.0,1.0,0.0,0.0,5.0
22,351403,0.0,0.0,1.0,0.0,0.0,5.0
22,351404,0.0,0.0,2.0,0.0,0.0,3.0
22,351500,0.0,0.0,3.0,0.0,0.0,1.0
23,350104,1.0,0.0,0.0,0.0,0.0,5.0
23,350200,0.0,0.0,3.0,0.0,0.0,2.0
23,350300,0.0,0.0,5.0,0.0,0.0,0.0
23,350400,0.0,1.0,1.0,0.0,0.0,2.0
23,350500,0.0,0.0,3.0,0.0,0.0,2.0
23,350600,0.0,0.0,1.0,0.0,0.0,2.0
23,350700,1.0,0.0,1.0,0.0,2.0,4.0
23,350800,0.0,1.0,1.0,0.0,0.0,0.0
23,350900,0.0,0.0,3.0,0.0,0.0,0.0
23,351000,1.0,3.0,5.0,0.0,0.0,3.0
23,351100,0.0,3.0,2.0,1.0,0.0,3.0
23,351203,0.0,2.0,3.0,0.0,0.0,1.0
23,351204,0.0,0.0,4.0,0.0,0.0,3.0
23,351300,0.0,2.0,3.0,0.0,0.0,4.0
23,351403,0.0,3.0,2.0,0.0,0.0,3.0
23,351404,0.0,3.0,2.0,2.0,0.0,4.0
23,351500,0.0,0.0,1.0,0.0,0.0,0.0
24,350103,1.0,0.0,1.0,0.0,0.0,1.0
24,350104,1.0,2.0,2.0,0.0,1.0,4.0
24,350200,0.0,0.0,4.0,0.0,0.0,8.0
24,350300,0.0,1.0,3.0,0.0,0.0,0.0
24,350400,0.0,0.0,3.0,0.0,0.0,2.0
