incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y
14041715,11/26/2014 03:29:24 PM,XX,SYCAMORE ST,,S,43,220,BURGLARY/BREAKING AND ENTERING,-71.099613,42.39115
15031988,07/07/2015 01:09:20 AM,XX,SYCAMORE ST,,S,43,220,BURGLARY/BREAKING AND ENTERING,-71.099613,42.39115
11031523,09/24/2011 02:21:00 PM,XX,VERNON ST,,S,66,23F,THEFT FROM MOTOR VEHICLE,-71.104855,42.39289
6043643,12/19/2006 10:57:00 AM,8XX,BROADWAY,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.11806,42.400771
11011073,04/02/2011 03:20:00 PM,8XX,BROADWAY,,S,113,240,MOTOR VEHICLE THEFT,-71.118161,42.400767
8039100,10/29/2008 09:37:00 PM,8XX,BROADWAY,,S,113,120,ROBBERY,-71.118161,42.400767
10000595,01/07/2010 07:00:00 AM,8XX,CROSS ST,,S,14,220,BURGLARY/BREAKING AND ENTERING,-71.088098,42.385224
13005013,02/04/2013 03:31:00 PM,XX,ALPINE ST,,S,70,220,BURGLARY/BREAKING AND ENTERING,-71.108285,42.392627
6003293,01/30/2006 04:17:00 AM,XX,BAILEY RD,,,NA,220,BURGLARY/BREAKING AND ENTERING,-71.088617,42.396251
16054190,08/30/2016 08:46:27 AM,XX,BOSTON AV,,S,85,220,BURGLARY/BREAKING AND ENTERING,-71.109686,42.397288
12032431,08/15/2012 10:43:00 AM,XX,BOSTON AVE,,S,85,240,MOTOR VEHICLE THEFT,-71.109686,42.397288
15016632,04/15/2015 09:43:13 AM,XX,CONWELL AVE,,S,126,23F,THEFT FROM MOTOR VEHICLE,-71.128479,42.408212
7006827,03/01/2007 10:12:00 AM,XX,ELECTRIC AVE,,S,NA,240,MOTOR VEHICLE THEFT,-71.125259,42.403856
11020877,06/28/2011 03:52:00 PM,XX,FREMONT ST,,S,33,220,BURGLARY/BREAKING AND ENTERING,-71.097124,42.399108
5005027,02/14/2005 02:36:00 AM,XX,GILMAN ST,,,NA,240,MOTOR VEHICLE THEFT,-71.092248,42.386019
12006408,02/19/2012 08:09:00 PM,XX,GILMAN ST,,S,13,220,BURGLARY/BREAKING AND ENTERING,-71.092248,42.386019
11006284,02/15/2011 01:13:00 PM,XX,GLENWOOD RD,,S,64,23F,THEFT FROM MOTOR VEHICLE,-71.102063,42.39489
9035794,09/27/2009 06:48:00 AM,XX,GLENWOOD RD,,S,64,23F,THEFT FROM MOTOR VEHICLE,-71.102063,42.39489
15053628,10/30/2015 08:49:25 PM,XX,GRANT ST,,S,35,220,BURGLARY/BREAKING AND ENTERING,-71.08859,42.393879
7009883,03/24/2007 10:49:00 AM,XX,GRANT ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.08859,42.393879
11015400,05/11/2011 05:59:00 PM,XX,GRANT ST,,S,35,220,BURGLARY/BREAKING AND ENTERING,-71.08859,42.393879
